"Freq [GHz]","im(Z(1,1)) []"
1.944,-217.65475391964
1.948,-223.260812903206
1.952,-228.71431845587
1.956,-234.014359251728
1.96,-239.160390000847
1.964,-244.152212471535
1.968,-248.98995603439
1.972,-253.674057904259
1.976,-258.205243242962
1.98,-262.584505271724
1.984,-266.813085528059
1.988,-270.892454387675
1.992,-274.824291957871
1.996,-278.610469435175
2,-282.253031006801
